DATE_ID,R_2,R_5,R_10
2007/12/14,3.93,4.2099,4.5473
2007/12/17,3.94,4.2101,4.565
2007/12/18,3.9504,4.212,4.5516
2007/12/19,3.9539,4.2086,4.5359
2007/12/20,3.9481,4.2178,4.5438
2007/12/21,3.9324,4.2123,4.5649
2007/12/24,3.9008,4.2125,4.545
2007/12/25,3.8534,4.2022,4.5199
2007/12/26,3.8515,4.2206,4.5143
2007/12/27,3.8584,4.2316,4.4999
2007/12/28,3.913,4.2531,4.5214
2008/1/2,3.9579,4.2781,4.497
2008/1/3,3.9486,4.2833,4.4882
2008/1/4,3.8975,4.2485,4.4893
2008/1/7,3.8757,4.23,4.4861
2008/1/8,3.8515,4.2015,4.4828
2008/1/9,3.8713,4.2228,4.4828
2008/1/10,3.8791,4.2356,4.4738
2008/1/11,3.8452,4.2416,4.4733
2008/1/14,3.8159,4.2181,4.4718
2008/1/15,3.7805,4.1967,4.4886
2008/1/16,3.8332,4.2432,4.487
2008/1/17,3.8269,4.2514,4.4944
2008/1/18,3.8422,4.2542,4.4656
2008/1/21,3.8362,4.2191,4.4329
2008/1/22,3.8206,4.1991,4.4259
2008/1/23,3.8243,4.1996,4.4085
2008/1/24,3.8213,4.1783,4.389
2008/1/25,3.8082,4.1433,4.3686
2008/1/28,3.7706,4.0849,4.3518
2008/1/29,3.7371,4.0581,4.3308
2008/1/30,3.7531,4.0679,4.3194
2008/1/31,3.7392,4.075,4.3174
2008/2/1,3.7062,4.0283,4.2853
2008/2/4,3.5981,3.8897,4.1862
2008/2/5,3.5834,3.8912,4.1307
2008/2/13,3.5624,3.903,4.1554
2008/2/14,3.5555,3.8953,4.156
2008/2/15,3.5564,3.8932,4.1642
2008/2/18,3.5689,3.8854,4.1485
2008/2/19,3.5828,3.9008,4.1582
2008/2/20,3.5807,3.9096,4.1911
2008/2/21,3.5962,3.8997,4.197
2008/2/22,3.5911,3.8903,4.195
2008/2/25,3.6092,3.8933,4.1723
2008/2/26,3.6119,3.8987,4.1883
2008/2/27,3.6174,3.9095,4.2082
2008/2/28,3.6249,3.9172,4.2079
2008/2/29,3.6214,3.9207,4.1907
2008/3/3,3.6213,3.9181,4.1691
2008/3/4,3.6145,3.9143,4.1743
2008/3/5,3.6248,3.9226,4.2044
2008/3/6,3.6261,3.9305,4.2059
2008/3/7,3.6194,3.9267,4.2114
2008/3/10,3.6199,3.9306,4.2001
2008/3/11,3.6354,3.9358,4.2282
2008/3/12,3.6405,3.9493,4.2273
2008/3/13,3.6502,3.9574,4.2203
2008/3/14,3.6451,3.9659,4.1829
2008/3/17,3.6581,3.9717,4.1748
2008/3/18,3.6413,3.9547,4.1717
2008/3/19,3.6245,3.9491,4.2156
2008/3/20,3.6184,3.9371,4.2131
2008/3/21,3.5978,3.9423,4.2011
2008/3/24,3.5869,3.9366,4.1323
2008/3/25,3.5577,3.9066,4.1461
2008/3/26,3.536,3.8831,4.1306
2008/3/27,3.5128,3.8673,4.0818
2008/3/28,3.5062,3.855,4.0999
2008/3/31,3.5138,3.845,4.1027
2008/4/1,3.5122,3.8293,4.0983
2008/4/2,3.519,3.84,4.0771
2008/4/3,3.5183,3.8309,4.0875
2008/4/7,3.5408,3.8354,4.1474
2008/4/8,3.553,3.8302,4.1302
2008/4/9,3.5597,3.8505,4.1015
2008/4/10,3.5613,3.8483,4.0938
2008/4/11,3.5568,3.8509,4.081
2008/4/14,3.5402,3.8324,4.0788
2008/4/15,3.5101,3.8077,4.0997
2008/4/16,3.5107,3.8054,4.0997
2008/4/17,3.5091,3.81,4.1052
2008/4/18,3.5101,3.8098,4.0955
2008/4/21,3.5096,3.8107,4.1035
2008/4/22,3.5025,3.7922,4.1176
