"","num","MT_m","MT_n","HT_m","HT_n","winrate","freq","cumSeries"
"11",11,10,90,10,90,0.616438356164384,6.57142857142857,14.696
"12",12,10,90,20,80,0.623673469387755,6.72206303724928,15.2077
"13",13,10,90,30,70,0.62092050209205,6.78034682080925,14.8417
"14",14,10,90,40,60,0.625212947189097,6.98214285714286,14.7376
"15",15,10,90,50,50,0.627118644067797,6.98214285714286,14.2083
"16",16,10,90,60,40,0.625,6.92035398230088,14.3727
"17",17,10,90,70,30,0.617342130065975,6.87976539589443,13.8336
"18",18,10,90,80,20,0.626395939086294,6.53481894150418,13.2596
"19",19,10,90,90,10,0.612060301507538,6.40983606557377,13.1709
"21",21,20,80,10,90,0.58340113913751,9.89873417721519,12.5501
"22",22,20,80,20,80,0.580715850986121,9.85714285714286,13.3536
"23",23,20,80,30,70,0.580909768829232,9.1640625,13.2624
"24",24,20,80,40,60,0.585626911314985,9.85714285714286,13.2213
"25",25,20,80,50,50,0.584677419354839,9.61475409836066,12.5312
"26",26,20,80,60,40,0.589785831960461,9.85714285714286,13.043
"27",27,20,80,70,30,0.577429983525535,8.92015209125475,12.4371
"28",28,20,80,80,20,0.577593360995851,8.95419847328244,12.4101
"29",29,20,80,90,10,0.579634464751958,7.97959183673469,12.2605
"31",31,30,70,10,90,0.588487972508591,11.0140845070423,12.1293
"32",32,30,70,20,80,0.58503937007874,10.5201793721973,12.7042
"33",33,30,70,30,70,0.57823613086771,9.69421487603306,12.8526
"34",34,30,70,40,60,0.583697234352256,10.1120689655172,13.0907
"35",35,30,70,50,50,0.585347432024169,9.23622047244094,12.5956
"36",36,30,70,60,40,0.593553459119497,9.9406779661017,13.174
"37",37,30,70,70,30,0.582870737509913,9.05791505791506,12.2408
"38",38,30,70,80,20,0.579159935379645,9.2,12.1422
"39",39,30,70,90,10,0.583979328165375,7.54340836012862,11.8684
"41",41,40,60,10,90,0.578757875787579,13.6395348837209,10.4893
"42",42,40,60,20,80,0.578191039729501,13.8,11.0678
"43",43,40,60,30,70,0.572663000785546,11.5,11.3344
"44",44,40,60,40,60,0.577777777777778,12.0307692307692,12.1125
"45",45,40,60,50,50,0.578438661710037,11.6138613861386,11.7972
"46",46,40,60,60,40,0.578065498857578,12.282722513089,11.9584
"47",47,40,60,70,30,0.572107765451664,11.6716417910448,11.3426
"48",48,40,60,80,20,0.581138487680544,10.8110599078341,11.3829
"49",49,40,60,90,10,0.582116788321168,8.28975265017668,11.3013
"51",51,50,50,10,90,0.56989247311828,15.0384615384615,9.7594
"52",52,50,50,20,80,0.569717707442258,14.4814814814815,10.303
"53",53,50,50,30,70,0.566235864297254,11.969387755102,10.2894
"54",54,50,50,40,60,0.568477429227238,12.8196721311475,10.7909
"55",55,50,50,50,50,0.563997262149213,12.282722513089,10.7568
"56",56,50,50,60,40,0.566945606694561,10.2445414847162,11.1978
"57",57,50,50,70,30,0.565441176470588,10.7614678899083,10.8773
"58",58,50,50,80,20,0.570056044835869,9.49797570850202,10.6112
"59",59,50,50,90,10,0.566637246248897,7.84615384615385,10.374
